,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2,station_id,change_count
45,192,192,192,"Wardour Street, Soho",51.512515,-0.133202,16,16,13,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[386, 260, 129, 383]","[383, 260, 386, 129, 83]",192,34910
46,55,55,55,"Finsbury Circus, Liverpool Street",51.517075,-0.086686,6,32,30,33,2010-08-06 01:00:00,2020-02-14 17:38:02,"[215, 340, 509]","[215, 509, 340, 217, 838]",55,43586
47,107,107,107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096318,2,20,14,20,2010-08-06 01:00:00,2020-02-14 17:38:02,[78],"[78, 52, 119, 351, 30]",107,40190
49,48,48,48,"Godliman Street, St. Paul's",51.512484,-0.099141,11,25,11,25,2010-08-06 01:00:00,2020-02-14 17:38:02,[136],"[136, 71, 557, 101, 579]",48,35251
50,199,199,199,"Great Tower Street, Monument",51.510485,-0.08299,20,24,9,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[276, 587]","[587, 276, 104, 263, 130]",199,39892
51,159,159,159,"Great Marlborough Street, Soho",51.51462,-0.13784100000000002,25,26,1,39,2010-08-06 01:00:00,2020-02-14 17:38:02,"[116, 260]","[260, 116, 313, 129, 192]",159,37031
54,541,541,541,"Green Park Station, Mayfair",51.506613,-0.142844,26,28,9,28,2015-05-21 13:50:01,2020-02-14 17:38:02,"[528, 49]","[49, 528, 53, 382, 44]",541,41442
57,154,154,154,"Waterloo Station 3, Waterloo",51.503792,-0.112824,7,34,30,35,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 273, 272, 336, 173, 377, 374, 361]","[361, 374, 173, 377, 197]",154,49168
58,338,338,338,"Wellington Street , Strand",51.511756,-0.119643,15,15,5,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[335, 256, 388, 594, 564, 309]","[335, 388, 309, 564, 594]",338,36979
59,213,213,213,"Wellington Arch, Hyde Park",51.50274,-0.149569,29,36,2,36,2010-08-06 01:00:00,2020-02-14 17:38:02,"[191, 207]","[191, 207, 733, 222, 181]",213,43556
60,341,341,341,"Craven Street, Strand",51.50810300000001,-0.126021,1,23,23,23,2010-08-06 01:00:00,2020-02-14 17:38:02,"[354, 325, 229, 64]","[64, 354, 229, 325, 233]",341,49192
61,732,732,732,"Duke Street Hill, London Bridge",51.506304,-0.087263,15,21,20,21,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[194, 276, 10, 587, 706]",732,49676
62,18,18,18,"Drury Lane, Covent Garden",51.514771,-0.12222,24,27,7,27,2010-08-06 01:00:00,2020-02-14 17:38:02,"[358, 283, 751]","[751, 358, 283, 372, 562]",18,38533
63,214,214,214,"Endsleigh Gardens, Euston",51.526838,-0.130504,8,32,25,32,2010-08-06 01:00:00,2020-02-14 17:38:02,"[19, 25, 69, 795]","[795, 19, 25, 69, 797]",214,34770
64,374,374,374,"Waterloo Station 1, Waterloo",51.50402800000001,-0.113864,2,36,11,36,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 361]","[361, 154, 173, 377, 336]",374,59324
65,361,361,361,"Waterloo Station 2, Waterloo",51.50392,-0.113426,0,55,15,55,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 374]","[374, 154, 173, 377, 336]",361,38299
