,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2
651,199,199,199,"Great Tower Street, Monument",51.510484999999996,-0.08299,20,24,9,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[276, 587]","[587, 276, 104, 263, 130]"
652,326,326,326,"Graham Street, Angel",51.532662,-0.099981,4,26,2,26,2010-08-06 01:00:00,2020-02-14 17:38:02,[365],"[365, 75, 351, 695, 42]"
653,81,81,81,"Great Titchfield Street, Fitzrovia",51.520253000000004,-0.141327,8,19,9,19,2010-08-06 01:00:00,2020-02-14 17:38:02,"[357, 184, 311]","[311, 357, 184, 6, 13]"
654,486,486,486,"Granby Street, Shoreditch",51.525645000000004,-0.069543,0,37,11,37,2012-03-12 11:20:17,2020-02-14 17:38:02,[533],"[533, 322, 445, 399, 132]"
655,645,645,645,"Great Suffolk Street, The Borough",51.501732000000004,-0.10029199999999999,5,21,1,21,2014-02-19 18:15:01,2020-02-14 17:38:02,"[196, 80]","[80, 196, 92, 262, 421]"
656,735,735,735,"Grant Road East, Clapham Junction",51.464894,-0.173029,26,35,28,28,2014-02-19 18:15:01,2020-02-14 17:38:02,"[744, 638, 659, 672]","[672, 659, 744, 638, 734]"
657,15,15,15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,18,26,0,26,2010-08-06 01:00:00,2020-02-14 17:38:02,"[358, 24, 244]","[244, 24, 358, 88, 562]"
658,227,227,227,"Great Percy Street, Clerkenwell",51.528915999999995,-0.115481,3,23,18,23,2010-08-06 01:00:00,2020-02-14 17:38:02,"[70, 26, 793]","[26, 793, 70, 204, 593]"
659,159,159,159,"Great Marlborough Street, Soho",51.51462,-0.13784100000000002,25,26,1,39,2010-08-06 01:00:00,2020-02-14 17:38:02,"[116, 260]","[260, 116, 313, 129, 192]"
660,176,176,176,"Gloucester Terrace, Bayswater",51.517919,-0.188099,0,23,10,23,2010-08-06 01:00:00,2020-02-14 17:38:02,[568],"[568, 165, 105, 592, 224]"
661,442,442,442,"Walmer Road, Avondale",51.510101,-0.211358,5,24,16,24,2015-05-21 15:40:07,2020-02-14 17:38:02,[740],"[740, 771, 663, 754, 560]"
662,509,509,509,"Fore Street, Guildhall",51.517842,-0.090075,19,19,10,19,2013-07-09 11:26:09,2020-02-14 17:38:02,"[215, 275, 127, 55, 838]","[838, 215, 55, 127, 275]"
663,405,405,405,"Gloucester Road Station, South Kensington",51.494186,-0.182671,5,15,7,15,2011-06-29 15:40:02,2020-02-14 17:38:02,"[378, 231, 113, 128]","[128, 113, 231, 378, 187]"
664,508,508,508,"Fournier Street, Whitechapel",51.519362,-0.074431,2,18,14,18,2012-03-12 11:20:17,2020-02-14 17:38:02,"[40, 506, 236]","[236, 40, 506, 251, 122]"
665,238,238,238,"Frampton Street, Paddington",51.523353,-0.17511600000000002,22,32,2,32,2010-08-06 01:00:00,2020-02-14 17:38:02,"[402, 394]","[394, 402, 370, 255, 60]"
666,741,741,741,"Freston Road, Avondale",51.512980999999996,-0.219487,8,23,15,23,2014-02-19 18:15:01,2020-02-14 17:38:02,[652],"[652, 754, 740, 601, 771]"
667,383,383,383,"Frith Street, Soho",51.513103,-0.131214,17,18,18,18,2011-06-29 15:40:02,2020-02-14 17:38:02,"[386, 109, 192]","[386, 192, 109, 260, 244]"
668,737,737,737,"Fulham Broadway, Walham Green",51.479933,-0.194117,17,26,12,26,2014-02-19 18:15:01,2020-02-14 17:38:02,[691],"[691, 618, 731, 782, 739]"
669,597,597,597,"Fulham Park Road, Fulham",51.473471,-0.20781999999999998,7,26,8,27,2014-02-19 18:15:01,2020-02-14 17:38:02,"[727, 617]","[617, 727, 774, 671, 681]"
670,541,541,541,"Green Park Station, Mayfair",51.506613,-0.142844,26,28,9,28,2015-05-21 13:50:01,2020-02-14 17:38:02,"[528, 49]","[49, 528, 53, 382, 44]"
671,499,499,499,"Furze Green, Bow",51.519265000000004,-0.021345,26,36,11,36,2012-03-12 11:20:17,2020-02-14 17:38:02,[468],"[468, 505, 716, 469, 460]"
672,453,453,453,"Garnet Street, Shadwell",51.508447,-0.055166999999999994,1,24,15,24,2012-03-12 11:20:17,2020-02-14 17:38:02,[488],"[488, 511, 449, 552, 458]"
