,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
41,2018-04-06 00:00:00,176,278.02,1018,2,0.0,75,68,0,1,0,0,0,0,0,0,0,0,0,0,5.176149732573829,0,0,0,0
42,2018-04-07 00:00:00,373,283.186,1013,3,0.0,81,24,0,1,0,0,0,0,0,0,0,0,1,0,5.924255797414532,1,0,0,0
43,2018-04-08 00:00:00,436,283.15,1008,1,0.40375001711206315,81,88,0,0,0,0,0,1,0,0,0,0,1,0,6.07993319509559,1,0,0,0
44,2018-04-09 00:00:00,95,282.37,1010,2,0.3,93,90,0,0,1,1,0,1,1,0,0,0,0,0,4.564348191467836,0,0,0,0
45,2018-04-10 00:00:00,60,281.6,1001,4,0.9,93,90,0,0,1,0,0,1,1,0,0,0,0,0,4.110873864173311,0,0,0,0
46,2018-04-11 00:00:00,123,283.37,1006,2,0.3,93,36,0,0,1,1,1,1,1,0,0,0,0,0,4.820281565605037,0,0,0,0
47,2018-04-12 00:00:00,160,281.7,1006,2,1.0163246739665839,93,90,0,0,1,1,1,1,0,0,0,0,0,0,5.081404364984463,0,0,0,0
48,2018-05-01 00:00:00,88,278.54,1009,3,0.0,75,88,0,1,0,0,0,0,0,0,0,0,0,0,4.48863636973214,0,0,0,0
49,2018-05-02 00:00:00,135,281.52,1008,4,0.0,66,92,0,1,0,0,0,0,0,0,0,0,0,0,4.912654885736052,0,0,0,0
50,2018-05-03 00:00:00,169,278.37,1013,3,0.0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,5.135798437050262,0,0,0,0
51,2018-05-04 00:00:00,235,283.92,1021,4,0.0,62,64,0,1,0,0,0,0,0,0,0,0,0,0,5.4638318050256105,0,0,0,0
52,2018-05-05 00:00:00,507,283.33,1026,0,0.0,66,0,1,0,0,0,0,0,0,0,0,0,1,0,6.230481447578482,1,0,0,0
53,2018-05-06 00:00:00,573,284.39,1025,2,0.0,58,0,1,0,0,0,0,0,0,0,0,0,1,0,6.352629396319567,1,0,0,0
54,2018-05-07 00:00:00,527,286.9,1020,2,0.0,71,0,1,0,0,0,0,0,0,0,0,0,0,1,6.269096283706261,1,0,0,0
55,2018-05-08 00:00:00,339,287.52,1014,1,0.0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8289456176102075,0,0,0,0
56,2018-05-09 00:00:00,253,285.36,1010,4,0.0,77,75,0,1,0,0,0,0,0,0,0,0,0,0,5.537334267018537,0,0,0,0
57,2018-05-10 00:00:00,217,284.9,1009,4,0.3,76,92,0,0,0,0,0,0,1,0,0,0,0,0,5.384495062789089,0,0,0,0
58,2018-05-11 00:00:00,279,282.51,1020,3,0.0,62,20,0,1,0,0,0,0,0,0,0,0,0,0,5.634789603169249,0,0,0,0
59,2018-05-12 00:00:00,535,285.26,1012,2,0.3,76,8,0,0,0,0,0,0,1,0,0,0,1,0,6.284134161070802,1,0,0,0
60,2018-06-01 00:00:00,431,289.13,1016,3,0.3567714814538633,93,90,0,0,0,1,1,1,0,0,0,0,0,0,6.068425588244111,0,0,0,0
61,2018-06-02 00:00:00,700,289.37,1018,4,0.023996022438142375,93,92,0,0,0,0,1,1,0,0,0,0,1,0,6.55250788703459,1,0,0,0
62,2018-06-03 00:00:00,845,288.02,1019,1,0.0,87,0,1,0,0,0,0,0,0,0,0,0,1,0,6.740519359606223,1,0,0,0
63,2018-06-04 00:00:00,301,289.38,1017,2,0.0,93,0,0,0,0,1,1,1,0,0,0,0,0,0,5.71042701737487,0,0,0,0
64,2018-06-05 00:00:00,211,286.37,1017,4,0.252215456724961,87,90,0,0,1,0,0,0,0,0,0,0,0,0,5.356586274672012,0,0,0,0
65,2018-06-06 00:00:00,224,283.15,1017,3,0.0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,5.41610040220442,0,0,0,0
