dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514890800,2018-01-02 11:00:00 +0000 UTC,2643743,,,,278.97,277.15,281.15,1009,,,75,2,200,0.9,,,,,,,,75,501,Rain,moderate rain,10d
1514890800,2018-01-02 11:00:00 +0000 UTC,2643743,,,,278.97,277.15,281.15,1009,,,75,2,200,0.9,,,,,,,,75,701,Mist,mist,50d
1514894400,2018-01-02 12:00:00 +0000 UTC,2643743,,,,279.69,278.15,281.15,1007,,,87,4,170,0.3,,,,,,,,90,520,Rain,light intensity shower rain,09d
1514894400,2018-01-02 12:00:00 +0000 UTC,2643743,,,,279.69,278.15,281.15,1007,,,87,4,170,0.3,,,,,,,,90,701,Mist,mist,50d
1514898000,2018-01-02 13:00:00 +0000 UTC,2643743,,,,280.87,279.15,282.15,1005,,,87,4,190,0.3,,,,,,,,75,500,Rain,light rain,10d
1514898000,2018-01-02 13:00:00 +0000 UTC,2643743,,,,280.87,279.15,282.15,1005,,,87,4,190,0.3,,,,,,,,75,311,Drizzle,rain and drizzle,09d
1514898000,2018-01-02 13:00:00 +0000 UTC,2643743,,,,280.87,279.15,282.15,1005,,,87,4,190,0.3,,,,,,,,75,701,Mist,mist,50d
1514901600,2018-01-02 14:00:00 +0000 UTC,2643743,,,,281.6,280.15,283.15,1003,,,87,5,200,0.3,,,,,,,,90,310,Drizzle,light intensity drizzle rain,09d
1514901600,2018-01-02 14:00:00 +0000 UTC,2643743,,,,281.6,280.15,283.15,1003,,,87,5,200,0.3,,,,,,,,90,500,Rain,light rain,10d
1514901600,2018-01-02 14:00:00 +0000 UTC,2643743,,,,281.6,280.15,283.15,1003,,,87,5,200,0.3,,,,,,,,90,701,Mist,mist,50d
1514905200,2018-01-02 15:00:00 +0000 UTC,2643743,,,,282.51,281.15,284.15,1002,,,87,6,210,0.9,,,,,,,,90,701,Mist,mist,50d
1514905200,2018-01-02 15:00:00 +0000 UTC,2643743,,,,282.51,281.15,284.15,1002,,,87,6,210,0.9,,,,,,,,90,521,Rain,proximity shower rain,09d
1514908800,2018-01-02 16:00:00 +0000 UTC,2643743,,,,283.15,282.15,284.15,1002,,,81,4,240,0.9,,,,,,,,75,521,Rain,proximity shower rain,09d
1514912400,2018-01-02 17:00:00 +0000 UTC,2643743,,,,283.25,282.15,284.15,1002,,,81,5,240,,,,,,,,,40,802,Clouds,scattered clouds,03n
